project,subject,type,status,priority,exp_start_date,exp_end_date,description,expected_time,custom_change_control,custom_approval_owner,custom_approval_teams
PROJ-0003,Change Control Part 1,Planning,Completed,High,28-07-2025,08-08-2025,"Routed to Todd for review. Once review is complete, forward for business review. After that is complete, ask Todd to route for approval in MediaLab. When routing for approval, accept the track changes and attach clean copy in email.",80,Summer Release - 2025-0023,Princy Esakkimuthu,"Business,IT,QA,VAL"
PROJ-0003,RS - Requirements Specification,Planning,Completed,High,30-06-2025,08-08-2025,"Pauline and Guru - Once review is complete, please ask Todd to route it for approval in MediaLab. If any duplicate requirements remain, kindly remove them.",240,Summer Release - 2025-0023,Pauline Stephen,"Business,IT,QA,VAL"
PROJ-0003,Schedule DEMO with users,Planning,Completed,Medium,07-08-2025,08-08-2025,,16,Summer Release - 2025-0023,Israel Thavasikani,
PROJ-0003,Separate doc for reports - RS and DCS,Planning,Working,High,28-07-2025,08-08-2025,"Guru - Please share the document with the development team and request them to update the DCS section with the report requirements. Once the doc is updated, Pauline needs to route the doc for Todd's review. Once the review is complete, please request Todd to route it for approval in ML.",80,"Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Pauline Stephen,"Business,IT,QA,VAL"
PROJ-0003,DCS - LIMS (CLIA and CRS and HL7),Development,Completed,High,28-07-2025,08-08-2025,"Please update both the DCS. Route it for Rickson and Chris R's review with track changes on. Once the review is complete, please request Todd to route it for approval in MediaLab. Pauline is responsible for requesting Todd to route the document in MediaLab. For review, please upload the doc in teams and share the sharepoint location.",80,Summer Release - 2025-0023,Israel Thavasikani,"IT,VAL"
PROJ-0003,Unit Testing,Development,Completed,High,31-07-2025,11-08-2025,"Please update unit testing doc. Route it for Rickson and Chris R's review. Once the review is complete, please request Todd to route it for approval in MediaLab. For review, please upload the doc in teams and share the sharepoint location. When routing it for approval, please accept the track changes and attach clean copy in the email.",64,Summer Release - 2025-0023,Israel Thavasikani,"IT,VAL"
PROJ-0003,Code Review,Development,Completed,High,31-07-2025,11-08-2025,"Please update code review doc. Route it for Rickson and Chris R's review. Once the review is complete, please request Todd to route it for approval in MediaLab. For review, please upload the doc in teams and share the sharepoint location. When routing it for approval, please accept the track changes and attach clean copy in the email.",64,Summer Release - 2025-0023,Israel Thavasikani,"IT,VAL"
PROJ-0003,Design Review Report,Development,Completed,High,31-07-2025,11-08-2025,"Please update design review report. Route it for Rickson and Chris R's review. Once the review is complete, please request Todd to route it for approval in MediaLab. For review, upload the doc in teams and share the sharepoint location. When routing for approval, accept the track changes and attach clean copy in email.",64,Summer Release - 2025-0023,Pauline Stephen,"IT,VAL"
PROJ-0003,Testing in DEV2,Development,Completed,High,31-07-2025,11-08-2025,,64,Summer Release - 2025-0023,Israel Thavasikani,
PROJ-0003,Create inflight samples in QA,Development,Completed,Medium,08-08-2025,11-08-2025,,16,,Monica Onyx,
PROJ-0003,Deploy changes to QA,Verification,Completed,High,12-08-2025,12-08-2025,"Make sure all DEV phase deliverables are approved in ML. DCS, UT, CRR and DRR. Please check if the inflight samples are ready before the deployment. Try to finish the deployment during early hours IST so that team can dry run OQ scripts in QA.",8,,,
PROJ-0003,Perform IQ in QA,Verification,Completed,High,12-08-2025,12-08-2025,,8,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",,
PROJ-0003,IQ Run ID - Route for Review,Verification,Completed,High,,,Follow up with reviewers and route it for approval in ALM.,,Summer Release - 2025-0023,Pauline Stephen,"IT,QA,VAL"
PROJ-0003,IQ in QA - Approval in ALM,Verification,Open,High,,,,,Summer Release - 2025-0023,Pauline Stephen,"IT,QA,VAL"
PROJ-0003,OQ Scripts - Dry run and External Review,Verification,Working,High,11-08-2025,14-08-2025,Lets have the dry run and author review completed before this task. So that we can have the OQ script pre-approval completed by Aug 15th for you guys to start the formal execution on Aug 18th.,32,Summer Release - 2025-0023,Princy Esakkimuthu,"IT,QA,VAL"
PROJ-0003,OQ Scripts - Pre-Approval,Verification,Working,High,12-08-2025,15-08-2025,,32,"Summer Release - 2025-0023, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
PROJ-0003,User Guide for sample structure change,Verification,Open,Medium,14-08-2025,14-08-2025,Please route it for approval once the user review is completed.,8,,Pauline Stephen,
PROJ-0003,Load Testing in QA,Verification,Working,High,13-08-2025,18-08-2025,Remember to add inflight samples for each test - HL7 too. Automation Team - please have the samples ready for testing.,32,,,
PROJ-0003,Share load testing results with Rickson and Chris,Verification,Open,Medium,14-08-2025,14-08-2025,,8,,,
PROJ-0003,Inflight Testing in QA,Verification,Working,High,18-08-2025,19-08-2025,Offshore Team.,16,Summer Release - 2025-0023,Princy Esakkimuthu,
PROJ-0003,OQ Formal Execution - Run IDs Review and Approval,Verification,Open,High,18-08-2025,19-08-2025,Offshore Team.,16,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
PROJ-0003,RTM - Eisai Audit Findings and Summer Release,Verification,Working,High,04-08-2025,19-08-2025,"Find a responsible person from offshore and assign this task to them. NHI, Eisai Findings and Summer release.",96,"Summer Release - 2025-0023, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
PROJ-0003,UAT - Drafting,Verification,Completed,High,13-08-2025,13-08-2025,,8,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",,
PROJ-0003,UAT - External Review,Verification,Completed,High,14-08-2025,15-08-2025,Email needs to be sent to users for their review.,16,,Pauline Stephen,"Business,QA,VAL"
PROJ-0003,UAT - Dry run and Pre-approval,Verification,Completed,High,18-08-2025,18-08-2025,"Once the dry run is completed, please route it for approval and have the scripts pre-approved in ALM.",8,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Pauline Stephen,
PROJ-0003,Report Checklist,Verification,Working,Medium,19-08-2025,20-08-2025,"Needs to follow up with Kris on his review. Once the review is complete, we need to route it for approval in ML.",16,,Pauline Stephen,
PROJ-0003,UAT - Formal Execution,Verification,Open,High,20-08-2025,20-08-2025,,8,,Pauline Stephen,"Business,QA,VAL"
PROJ-0003,Regression Testing in QA,Verification,Open,High,19-08-2025,19-08-2025,"Route the run IDs for review - ALM. Once the review is completed, we need to route it for approval in ALM.",8,,Princy Esakkimuthu,"IT,QA,VAL"
PROJ-0003,CC Part 2 - Drafting,Verification,Open,High,19-08-2025,19-08-2025,,8,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Vijitha Paul,
PROJ-0003,CC Part 2 - Review and Approval,Verification,Open,High,20-08-2025,21-08-2025,,16,,,
PROJ-0003,User Guide Drafting,Verification,Open,Medium,25-08-2025,26-08-2025,,16,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
